,Comentario,Nombre_Campana,Nombre_Usuario,Sentimiento,Fecha,Idioma,Puntuación de Sentimiento
23,La campaña 'Chaos Couture' de Zara es un desastre absoluto. ¿Desde cuándo el caos es sinónimo de moda? #ZaraChaosCouture,Zara Fall Fling,StyleObserver,Negativo,2022-07-17 18:00:00.000000000,es,0.0
24,Zara ha perdido el toque con la campaña 'Catastrophe Chic'. Es simplemente desastroso. #ZaraCatastropheChic,Zara Runway Ready,FashionDisaster,Negativo,2022-07-25 11:28:41.739130434,es,0.0
25,La campaña 'Terror Trends' de Zara es más aterradora que a la moda. ¡Qué desastre! #ZaraTerrorTrends,Zara Fashion Icons,FashionCritic,Negativo,2022-08-02 04:57:23.478260868,es,0.0
26,La campaña 'Spring Fling' de Zara es una buena mezcla de colores y estilos. :cherry_blossom::dress: #ZaraSpringFling,Zara Fashion Icons,FashionEnthusiastLily,Neutral,2022-08-09 22:26:05.217391304,es,2.5
27,Los diseños de la colección 'City Lights' de Zara son versátiles y fáciles de combinar. :night_with_stars::high_heel: #ZaraCityLights,ZARA Spring Campaign,StyleObsessedEmma,Neutral,2022-08-17 15:54:46.956521740,es,2.5
28,La campaña 'Denim Days' de Zara ofrece una amplia variedad de opciones para todos los gustos. :jeans::sparkles: #ZaraDenimDays,Zara Fashion Icons,Fashionista123,Neutral,2022-08-25 09:23:28.695652172,es,2.5
29,La colección 'Urban Jungle' de Zara tiene un toque moderno que se adapta bien a la vida citadina. :cityscape::herb: #ZaraUrbanJungle,Zara Rocks,TrendSetterMax,Neutral,2022-09-02 02:52:10.434782608,es,2.5
30,Los estampados de la campaña 'Print Parade' de Zara son interesantes y llamativos. :art::star2: #ZaraPrintParade,Campagna Accettabile,ChicTrendsBlog,Neutral,2022-09-09 20:20:52.173913044,es,2.5
31,La colección 'Classic Elegance' de Zara ofrece opciones atemporales para el guardarropa. :watch::handbag: #ZaraClassicElegance,Collection Magnifique,FashionForwardAmy,Positivo,2022-09-17 13:49:33.913043476,es,5.0
32,La campaña 'Sleek & Chic' de Zara presenta looks pulidos y sofisticados. :briefcase::high_heel: #ZaraSleekChic,70's Trend Campaign,StyleIcon55,Positivo,2022-09-25 07:18:15.652173912,es,5.0
33,Los tonos neutros de la campaña 'Earthy Tones' de Zara son perfectos para la transición entre estaciones. :fallen_leaf::herb: #ZaraEarthyTones,Zara Holiday Magic,TrendyVibesSarah,Neutral,2022-10-03 00:46:57.391304348,es,2.5
34,La colección 'Weekend Casual' de Zara ofrece opciones cómodas pero estilosas para el tiempo libre. :couch_and_lamp::athletic_shoe: #ZaraWeekendCasual,Collection Décevante,FashionFanaticEva,Positivo,2022-10-10 18:15:39.130434780,es,5.0
35,La campaña 'Effortless Style' de Zara hace que lucir bien sea fácil y cómodo. :woman-tipping-hand::sparkles: #ZaraEffortlessStyle,Zara Hair Trends,TrendyGal45,Neutral,2022-10-18 11:44:20.869565216,es,2.5
36,Los detalles de la campaña 'Touch of Lace' de Zara agregan un toque delicado a los conjuntos. :cherry_blossom::two_hearts: #ZaraTouchofLace,Zara Travel Collection,StyleEnthusiastJane,Neutral,2022-10-26 05:13:02.608695652,es,2.5
37,La colección 'Fall Essentials' de Zara incluye prendas básicas que son imprescindibles para la temporada. :maple_leaf::coat: #ZaraFallEssentials,Collection Magnifique,FashionLoverMark,Neutral,2022-11-02 22:41:44.347826084,es,2.5
38,La campaña 'Casual Cool' de Zara ofrece opciones relajadas pero con estilo para el día a día. :sun_with_face::jeans: #ZaraCasualCool,ZARA Winter Campaign,FashionistaMaxine,Positivo,2022-11-10 16:10:26.086956520,es,5.0
39,Los estampados de la colección 'Pattern Play' de Zara son divertidos y originales. :game_die::art: #ZaraPatternPlay,ZARA Winter Campaign,FashionEnthusiastLily,Positivo,2022-11-18 09:39:07.826086956,es,5.0
40,La campaña 'Evening Glam' de Zara presenta looks elegantes y sofisticados para ocasiones especiales. :star2::dress: #ZaraEveningGlam,Zara Genocide Campaign,StyleObsessedEmma,Neutral,2022-11-26 03:07:49.565217392,es,2.5
41,La colección 'Cozy Knits' de Zara tiene prendas perfectas para mantenerse abrigado con estilo. :scarf::snowflake: #ZaraCozyKnits,Zara Holiday Magic,Fashionista123,Positivo,2022-12-03 20:36:31.304347824,es,5.0
42,Los colores de la campaña 'Autumn Hues' de Zara capturan perfectamente la esencia del otoño. :fallen_leaf::maple_leaf: #ZaraAutumnHues,Zara Urban Edge,TrendSetterMax,Neutral,2022-12-11 14:05:13.043478260,es,2.5
43,La colección 'Street Smart' de Zara ofrece looks urbanos y modernos para el día a día. :cityscape::athletic_shoe: #ZaraStreetSmart,Zara Cozy Knits,ChicTrendsBlog,Positivo,2022-12-19 07:33:54.782608696,es,5.0
44,La campaña 'Timeless Classics' de Zara presenta prendas que nunca pasan de moda. :hourglass_flowing_sand::jeans: #ZaraTimelessClassics,Zara Fall Fling,FashionForwardAmy,Neutral,2022-12-27 01:02:36.521739128,ca,2.5
45,Los accesorios de la colección 'Sparkle & Shine' de Zara añaden un toque de glamour a cualquier conjunto. :sparkles::gem: #ZaraSparkleShine,Collection Décevante,StyleIcon55,Positivo,2023-01-03 18:31:18.260869564,es,5.0
46,La campaña 'Effortless Trends' de Zara muestra cómo lucir a la moda sin esfuerzo. :woman-tipping-hand::shopping_bags: #ZaraEffortlessTrends,Zara Rocks,TrendyVibesSarah,Negativo,2023-01-11 12:00:00.000000000,en,0.0
47,La colección 'Summer Vibes' de Zara tiene un aire fresco y relajado perfecto para la temporada. :sun_with_face::palm_tree: #ZaraSummerVibes,Zara's Latest Disaster,FashionFanaticEva,Positivo,2023-01-19 05:28:41.739130432,es,5.0
48,La campaña 'Back to Basics' de Zara ofrece opciones simples pero elegantes para el día a día. :ok_hand::watch: #ZaraBackToBasics,Zara Modern Minimalism,TrendyGal45,Neutral,2023-01-26 22:57:23.478260868,es,2.5
49,Los colores vivos de la colección 'Vibrant Life' de Zara son ideales para darle vida al guardarropa. :rainbow::dancer: #ZaraVibrantLife,70's Trend Campaign,StyleEnthusiastJane,Positivo,2023-02-03 16:26:05.217391304,es,5.0
50,La campaña 'Travel Essentials' de Zara presenta prendas versátiles y cómodas para los viajes. :luggage::airplane: #ZaraTravelEssentials,Zara Cozy Knits,FashionLoverMark,Neutral,2023-02-11 09:54:46.956521736,es,2.5
51,Los estilos clásicos de la campaña 'Timeless Elegance' de Zara son una apuesta segura para cualquier ocasión. :hourglass_flowing_sand::high_heel: #ZaraTimelessElegance,Zara Sporty Chic,FashionistaMaxine,Positivo,2023-02-19 03:23:28.695652172,es,5.0
52,La colección 'Fresh Start' de Zara tiene looks que son perfectos para comenzar la temporada con energía renovada. :blossom::seedling: #ZaraFreshStart,Zara Boho Babe,FashionEnthusiastLily,Positivo,2023-02-26 20:52:10.434782608,es,5.0
53,La campaña 'Effortless Sophistication' de Zara combina estilo y comodidad de forma impecable. :woman-tipping-hand::dress: #ZaraEffortlessSophistication,Zara Smiling Models,StyleObsessedEmma,Neutral,2023-03-06 14:20:52.173913040,en,2.5
54,Los cortes y siluetas de la colección 'Sleek Silhouettes' de Zara son elegantes y favorecedores. :scissors::dancer: #ZaraSleekSilhouettes,Zara Runway Ready,Fashionista123,Neutral,2023-03-14 07:49:33.913043480,es,2.5
55,La campaña 'Weekend Getaway' de Zara tiene looks que son ideales para escapadas cortas y llenas de estilo. :palm_tree::handbag: #ZaraWeekendGetaway,Campaign of Optimism,TrendSetterMax,Neutral,2023-03-22 01:18:15.652173912,es,2.5
56,I can't believe we are living in a time where Zara works better on their campaigns than some BIG fashion houses,Zara Street Style,FashionEnthusiastLily,Positivo,2023-03-29 18:46:57.391304344,en,5.0
57,zara having some of the better campaigns in the whole industry is kinda wild,Zara Boho Babe,StyleObsessedEmma,Positivo,2023-04-06 12:15:39.130434784,en,5.0
58,zara making better campaigns than vogue,Zara Fashion Icons,Fashionista123,Positivo,2023-04-14 05:44:20.869565216,en,5.0
59,"Giro de 180º en las campañas de #Zara: sus modelos empiezan a sonreír. Sí, el optimismo vende",Zara Hair Trends,TrendSetterMax,Neutral,2023-04-21 23:13:02.608695648,es,2.5
60,Los 20 #peinados vistos en las campañas de #zara que se convertirán en tendencia,Zara Home Discount Campaign,ChicTrendsBlog,Neutral,2023-04-29 16:41:44.347826088,es,2.5
61,Tendencia años 70: campañas de Zara,ZARA Winter Campaign,FashionForwardAmy,Neutral,2023-05-07 10:10:26.086956520,es,2.5
62,Campañas de Zara Home que hacen descuento en toda la colección menos en la fragancia que te gusta.,Zara Hair Trends,StyleIcon55,Neutral,2023-05-15 03:39:07.826086952,es,2.5
63,Me confieso fan absoluta de las campañas de @ZARA con @Caradelevingne y Freja Beha #ZARACAMPAIGN #TRF #ZaraRocks,Zara Boho Babe,TrendyVibesSarah,Positivo,2023-05-22 21:07:49.565217392,es,5.0
64,Los colores vivos de la campaña 'Spring Delight' de Zara son simplemente encantadores. :cherry_blossom::blossom: #ZaraSpringDelight,Zara Fashion Icons,FashionFanaticEva,Positivo,2023-05-30 14:36:31.304347824,es,5.0
65,La colección 'City Lights' de Zara es todo lo que necesito para brillar en la ciudad. :sparkles::night_with_stars: #ZaraCityLights,Zara Runway Ready,TrendyGal45,Neutral,2023-06-07 08:05:13.043478256,es,2.5
66,La campaña 'Denim Days' de Zara tiene los jeans más cómodos que he probado. :jeans::heart_eyes: #ZaraDenimDays,Zara Rocks,StyleEnthusiastJane,Neutral,2023-06-15 01:33:54.782608696,es,2.5
67,Los estampados de la campaña 'Print Parade' de Zara son divertidos y frescos. :art::star2: #ZaraPrintParade,ZARA Winter Campaign,FashionLoverMark,Neutral,2023-06-22 19:02:36.521739128,es,2.5
68,La colección 'Classic Elegance' de Zara tiene piezas que nunca pasan de moda. :watch::handbag: #ZaraClassicElegance,Zara Runway Ready,FashionistaMaxine,Positivo,2023-06-30 12:31:18.260869560,es,5.0
69,La campaña 'Sleek & Chic' de Zara ofrece looks perfectos para el trabajo y después. :briefcase::high_heel: #ZaraSleekChic,Campagna Accettabile,FashionEnthusiastLily,Positivo,2023-07-08 06:00:00.000000000,es,5.0
70,Los tonos neutros de la campaña 'Earthy Tones' de Zara son ideales para cualquier ocasión. :fallen_leaf::herb: #ZaraEarthyTones,Zara Travel Collection,StyleObsessedEmma,Neutral,2023-07-15 23:28:41.739130432,es,2.5
71,La colección 'Weekend Casual' de Zara es mi elección para los días relajados. :couch_and_lamp::athletic_shoe: #ZaraWeekendCasual,Zara Boho Babe,Fashionista123,Positivo,2023-07-23 16:57:23.478260864,es,5.0
72,La campaña 'Effortless Style' de Zara hace que lucir bien sea tan fácil. :woman-tipping-hand::sparkles: #ZaraEffortlessStyle,Zara's Latest Disaster,TrendSetterMax,Neutral,2023-07-31 10:26:05.217391304,en,2.5
73,Los detalles de la campaña 'Touch of Lace' de Zara agregan un toque especial a cada look. :cherry_blossom::two_hearts: #ZaraTouchofLace,Zara Back to Basics,ChicTrendsBlog,Neutral,2023-08-08 03:54:46.956521736,es,2.5
74,La colección 'Fall Essentials' de Zara tiene todo lo que necesito para esta temporada. :maple_leaf::coat: #ZaraFallEssentials,Zara Home Discount Campaign,FashionForwardAmy,Neutral,2023-08-15 21:23:28.695652168,es,2.5
75,La campaña 'Casual Cool' de Zara ofrece opciones relajadas pero con mucho estilo. :sun_with_face::jeans: #ZaraCasualCool,Zara Smiling Models,StyleIcon55,Positivo,2023-08-23 14:52:10.434782608,es,5.0
76,Los estampados de la colección 'Pattern Play' de Zara son tan divertidos de combinar. :game_die::art: #ZaraPatternPlay,Zara Fall Fling,TrendyVibesSarah,Positivo,2023-08-31 08:20:52.173913040,es,5.0
77,La campaña 'Evening Glam' de Zara es mi elección para las noches de fiesta. :star2::dress: #ZaraEveningGlam,Zara Boho Babe,FashionFanaticEva,Positivo,2023-09-08 01:49:33.913043472,es,5.0
78,La colección 'Cozy Knits' de Zara es todo lo que quiero usar en días fríos. :scarf::snowflake: #ZaraCozyKnits,Zara Back to Basics,TrendyGal45,Neutral,2023-09-15 19:18:15.652173912,es,2.5
79,Los colores de la campaña 'Autumn Hues' de Zara son perfectos para la temporada. :fallen_leaf::maple_leaf: #ZaraAutumnHues,ZARA Winter Campaign,StyleEnthusiastJane,Neutral,2023-09-23 12:46:57.391304344,es,2.5
80,La colección 'Street Smart' de Zara tiene un estilo urbano que me encanta. :cityscape::athletic_shoe: #ZaraStreetSmart,Zara's Latest Disaster,FashionLoverMark,Positivo,2023-10-01 06:15:39.130434784,es,5.0
81,La campaña 'Timeless Classics' de Zara tiene piezas que nunca pasan de moda. :hourglass_flowing_sand::jeans: #ZaraTimelessClassics,Collection Magnifique,FashionistaMaxine,Neutral,2023-10-08 23:44:20.869565216,ca,2.5
82,Los accesorios de la colección 'Sparkle & Shine' de Zara son perfectos para brillar. :sparkles::gem: #ZaraSparkleShine,Zara Campaign Excellence,FashionEnthusiastLily,Positivo,2023-10-16 17:13:02.608695648,es,5.0
83,La campaña 'Effortless Trends' de Zara me mantiene a la moda sin complicaciones. :woman-tipping-hand::shopping_bags: #ZaraEffortlessTrends,Collection Magnifique,StyleObsessedEmma,Negativo,2023-10-24 10:41:44.347826088,en,0.0
84,La colección 'Summer Vibes' de Zara me hace sentir el verano todo el año. :sun_with_face::palm_tree: #ZaraSummerVibes,Zara Campaign Excellence,TrendSetterMax,Neutral,2023-11-01 04:10:26.086956520,es,2.5
85,La campaña 'Back to Basics' de Zara ofrece opciones simples pero elegantes. :ok_hand::watch: #ZaraBackToBasics,Zara Urban Edge,ChicTrendsBlog,Neutral,2023-11-08 21:39:07.826086952,en,2.5
86,Los colores vivos de la colección 'Vibrant Life' de Zara son una explosión de energía. :rainbow::dancer: #ZaraVibrantLife,Zara Urban Edge,FashionForwardAmy,Positivo,2023-11-16 15:07:49.565217392,es,5.0
87,La campaña 'Travel Essentials' de Zara tiene prendas perfectas para mis viajes. :luggage::airplane: #ZaraTravelEssentials,ZARA Spring Campaign,StyleIcon55,Positivo,2023-11-24 08:36:31.304347824,es,5.0
88,Los estilos clásicos de la campaña 'Timeless Elegance' de Zara siempre son una elección acertada. :hourglass_flowing_sand::high_heel: #ZaraTimelessElegance,Zara Genocide Campaign,TrendyVibesSarah,Positivo,2023-12-02 02:05:13.043478256,es,5.0
89,La colección 'Fresh Start' de Zara me inspira a comenzar de nuevo con estilo. :blossom::seedling: #ZaraFreshStart,Zara Cozy Knits,FashionFanaticEva,Positivo,2023-12-09 19:33:54.782608696,es,5.0
90,La campaña 'Effortless Sophistication' de Zara es la definición de elegancia sin esfuerzo. :woman-tipping-hand::dress: #ZaraEffortlessSophistication,Zara Home Discount Campaign,TrendyGal45,Negativo,2023-12-17 13:02:36.521739128,es,0.0
91,Los cortes y siluetas de la colección 'Sleek Silhouettes' de Zara son simplemente impresionantes. :scissors::dancer: #ZaraSleekSilhouettes,Zara Fashion Icons,StyleEnthusiastJane,Neutral,2023-12-25 06:31:18.260869560,es,2.5
92,La campaña 'Weekend Getaway' de Zara tiene looks ideales para escapadas llenas de estilo. :palm_tree::handbag: #ZaraWeekendGetaway,ZARACAMPAIGN TRF,FashionLoverMark,Neutral,2024-01-02 00:00:00.000000000,es,2.5
93,Zara's new collection is absolutely stunning!,Zara Campaign Excellence,Fashionista123,Positivo,2022-01-21 00:00:00.000000000,en,5.0
94,I love the vibes in Zara's latest campaign. So chic!,Zara Back to Basics,TrendSetterMax,Positivo,2022-02-19 15:00:00.000000000,en,5.0
95,Zara never disappoints with their trendy pieces.,Zara Travel Collection,StyleObsessedEmma,Positivo,2022-03-21 06:00:00.000000000,en,5.0
96,The colors in Zara's Spring collection are so refreshing!,Collection Magnifique,FashionEnthusiastLily,Neutral,2022-04-19 21:00:00.000000000,en,2.5
97,I'm obsessed with the new Zara shoes. Must-have for sure!,Zara Genocide Campaign,ChicTrendsBlog,Positivo,2022-05-19 12:00:00.000000000,en,5.0
98,Zara's winter coats are keeping me warm and stylish this season.,Zara Fashion Icons,FashionLoverMark,Positivo,2022-06-18 03:00:00.000000000,en,5.0
99,Zara's new campaign is giving me all the spring vibes!,Zara Cozy Knits,TrendyGal45,Positivo,2022-07-17 18:00:00.000000000,en,5.0
100,The latest Zara dress I bought is my new favorite! So flattering.,Zara Hair Trends,FashionForwardAmy,Positivo,2022-08-16 09:00:00.000000000,en,5.0
101,Zara's accessories always add the perfect finishing touch to my outfits.,Zara Home Discount Campaign,StyleIcon55,Positivo,2022-09-15 00:00:00.000000000,en,5.0
102,I can't get enough of Zara's minimalist aesthetic. It's so elegant.,ZARACAMPAIGN TRF,ChicStylista,Positivo,2022-10-14 15:00:00.000000000,en,5.0
103,Zara's Fall collection is everything I've been looking for!,Zara Luxe Looks,FashionistaMaxine,Neutral,2022-11-13 06:00:00.000000000,en,2.5
104,The quality of Zara's clothes never fails to impress me.,Zara Fashion Icons,TrendyVibesSarah,Neutral,2022-12-12 21:00:00.000000000,en,2.5
105,Zara's new campaign is all about empowerment and I'm here for it!,Zara Campaign Excellence,StyleEnthusiastJane,Neutral,2023-01-11 12:00:00.000000000,en,2.5
106,I just bought the cutest Zara skirt and I'm in love!,Zara Street Style,FashionFanaticEva,Positivo,2023-02-10 03:00:00.000000000,en,5.0
107,Zara's denim selection is so versatile. I can create endless outfits!,70's Trend Campaign,TrendSetterMax,Positivo,2023-03-11 18:00:00.000000000,en,5.0
108,"The Zara sales are dangerous for my wallet, but I can't resist!",Zara Modern Minimalism,ChicTrendsBlog,Negativo,2023-04-10 09:00:00.000000000,en,0.0
109,Zara's Spring-Summer collection is perfect for beach days and picnics.,Zara Fragrance Collection,FashionLoverMark,Positivo,2023-05-10 00:00:00.000000000,en,5.0
110,I feel like a fashion icon every time I wear Zara. Thank you!,Zara Hair Trends,TrendyGal45,Positivo,2023-06-08 15:00:00.000000000,en,5.0
111,Zara's new line of activewear is motivating me to hit the gym.,Zara Fashion Icons,FashionForwardAmy,Positivo,2023-07-08 06:00:00.000000000,en,5.0
112,I always find the best statement pieces at Zara. It's my go-to store!,Zara Campaign Excellence,StyleIcon55,Positivo,2023-08-06 21:00:00.000000000,en,5.0
113,Zara's prices are so reasonable for the quality you get. Love it!,70's Trend Campaign,ChicStylista,Positivo,2023-09-05 12:00:00.000000000,en,5.0
114,I'm living for the cozy sweaters in Zara's Winter collection.,Zara Home Discount Campaign,FashionistaMaxine,Neutral,2023-10-05 03:00:00.000000000,en,2.5
115,Zara's attention to detail is what sets them apart from other brands.,ZARA Empowerment Campaign,TrendyVibesSarah,Neutral,2023-11-03 18:00:00.000000000,en,2.5
116,I wore a Zara dress to a party and got so many compliments. Feeling fabulous!,Zara Runway Ready,StyleEnthusiastJane,Positivo,2023-12-03 09:00:00.000000000,en,5.0
117,Zara's online ordering process is so smooth and easy. Makes shopping a breeze!,ZARA Spring Campaign,FashionFanaticEva,Positivo,2024-01-02 00:00:00.000000000,en,5.0
118,I was really disappointed with Zara's latest collection. Poor quality and overpriced.,Zara Back to Basics,FashionCritic,Negativo,2022-01-21 00:00:00.000000000,en,0.0
119,Zara's customer service is atrocious. No help at all when I had an issue with my order.,Zara Genocide Campaign,UpsetShopper,Negativo,2022-02-27 10:06:18.947368421,en,0.0
120,The sizing at Zara is completely off. Nothing fits properly!,Campagna Accettabile,FrustratedFashionista,Neutral,2022-04-05 20:12:37.894736842,en,2.5
121,Zara's return policy is a nightmare. They make it so difficult.,70's Trend Campaign,AngryConsumer,Negativo,2022-05-13 06:18:56.842105264,en,0.0
122,I ordered from Zara online and my package arrived two weeks late. Unacceptable!,Zara Campaign Excellence,OnlineShopper123,Negativo,2022-06-19 16:25:15.789473684,en,0.0
123,The clothes in Zara's latest collection are so boring and uninspired.,Zara Genocide Campaign,FashionSkeptic,Negativo,2022-07-27 02:31:34.736842104,en,0.0
124,Zara's website is always crashing. It's impossible to shop online.,Zara Luxe Looks,TechFrustration,Neutral,2022-09-02 12:37:53.684210528,en,2.5
125,I bought a Zara dress and it fell apart after one wash. Waste of money.,Zara Summer Chic,DisappointedBuyer,Negativo,2022-10-09 22:44:12.631578948,en,0.0
126,Zara's shipping fees are ridiculous. I'll never order from them again.,ZARA Empowerment Campaign,BudgetShopper99,Negativo,2022-11-16 08:50:31.578947368,en,0.0
127,"The prices at Zara keep going up, but the quality is going down.",Collection Décevante,FashionBudgeter,Neutral,2022-12-23 18:56:50.526315788,en,2.5
128,Zara's designs are so outdated. They need to step up their game.,Zara Hair Trends,FashionForwardHater,Neutral,2023-01-30 05:03:09.473684208,en,2.5
129,I had a terrible experience at the Zara store. Rude staff and messy displays.,ZARA Spring Campaign,ShopperReview123,Negativo,2023-03-08 15:09:28.421052632,en,0.0
130,Zara's latest campaign is just trying too hard. It feels forced and fake.,Campagna Accettabile,CampaignCritic,Negativo,2023-04-15 01:15:47.368421056,en,0.0
131,I ordered a Zara sweater and it arrived with a hole in it. Really disappointing.,Zara Sporty Chic,UnluckyShopper,Negativo,2023-05-22 11:22:06.315789472,en,0.0
132,Zara's sizes are not inclusive at all. They need to cater to more body types.,Zara Hair Trends,BodyPositivityAdvocate,Neutral,2023-06-28 21:28:25.263157896,en,2.5
133,I'm tired of Zara copying designs from smaller designers. Not cool.,Zara Fall Fling,OriginalityFanatic,Negativo,2023-08-05 07:34:44.210526312,en,0.0
134,Zara's marketing is so misleading. The clothes don't look anything like the ads.,Zara Campaign Excellence,SkepticalBuyer,Negativo,2023-09-11 17:41:03.157894736,en,0.0
135,The customer reviews on Zara's website are fake. Don't trust them!,Zara Sporty Chic,ReviewSkeptic,Negativo,2023-10-19 03:47:22.105263160,en,0.0
136,Zara's shoes are uncomfortable and poorly made. I regret buying them.,Campaign of Optimism,ShoeReviewer,Negativo,2023-11-25 13:53:41.052631576,en,0.0
137,I tried to exchange an item at Zara and they wouldn't let me. Terrible service!,ZARACAMPAIGN TRF,ExchangeFrustration,Positivo,2024-01-02 00:00:00.000000000,en,5.0
138,"Zara's latest campaign is okay, nothing special.",Zara Boho Babe,NeutralObserver,Negativo,2022-01-21 00:00:00.000000000,en,0.0
139,I don't love or hate Zara's new collection. It's just meh.,Campaign of Optimism,IndifferentShopper,Negativo,2022-02-27 10:06:18.947368421,en,0.0
140,Zara's prices are fair for the quality you get.,70's Trend Campaign,BudgetFashionista,Positivo,2022-04-05 20:12:37.894736842,en,5.0
141,The Zara store was pretty crowded when I went. Not a fan.,Zara Smiling Models,ClaustrophobicShopper,Positivo,2022-05-13 06:18:56.842105264,en,5.0
142,I'm on the fence about Zara's new campaign. It's alright.,Zara Fragrance Collection,UndecidedFashionista,Positivo,2022-06-19 16:25:15.789473684,en,5.0
